year,ctrycode,lending,cap_raising,altfin
2017,JO,6.638216809999999,.078293,6.7165098
2018,JO,12.8162402,.01693027256,12.83317
2019,JO,1.85110296275276,.01091848424945,1.8620214
2020,JO,2.478584946956,.0046502,2.4832354
2013,JP,78.537634,8.245480487756881,86.783112
2014,JP,107.631887,7.363025376916871,114.99491
2015,JP,326.003393,25.6477825685293,351.65115
2016,JP,373.3344263999999,25.11829340928893,398.45273
2017,JP,236.109768,112.540534,348.6503
2018,JP,920.40102402,148.625814966912,1069.0269
2019,JP,312.2100071168692,286.4424988585199,598.65253
2020,JP,654.5455978803978,501.1657111699008,1155.7113
2013,KE,9.283374999999999,2.429790359450112,11.713165
2014,KE,10.8737,4.006749771164477,14.88045
2015,KE,10.904275,5.16631884915141,16.070595
2016,KE,10.509875,2.233701824484093,12.743577
2017,KE,16.96880191,2.742499133914,19.711302
2018,KE,31.56503103059,3.448169562441,35.013199
2019,KE,73.66595335659281,3.07813156706117,76.74408
2020,KE,79.36644129636719,1.594924820271161,80.961365
2017,KG,1.41815,.019146,1.437296
2018,KG,1.693375,.00687399,1.700249
2019,KG,3.0913,.0277171122955,3.1190169
2020,KG,3.17945,,3.17945
2016,KH,4.493244,.021116,4.51436
2017,KH,8.189679,.35785,8.5475292
2018,KH,9.661398116948,.327807542967,9.9892063
2019,KH,4.39700249677,.25307412982013,4.6500764
2020,KH,4.5064708026,.28050266339167,4.7869735
2013,KR,.83364,1.33113458,2.1647744
2014,KR,1.220813,1.685887516349349,2.9067006
2015,KR,38.297819,2.88297458424003,41.180798
2016,KR,367.8403453772399,8.466549962789951,376.30692
2017,KR,854.91685,275.001248,1129.9181
2018,KR,550.5513331915259,202.828331480196,753.3797
2019,KR,1447.179359006193,157.3065587455017,1604.4858
2020,KR,1123.6364434364,179.9596441470201,1303.5962
2013,KW,,.0934741235031578,.093474127
2015,KW,,.006195,.0061949999
2017,KW,,.31068275411,.31068274
2018,KW,,.18,.18000001
2019,KW,,.005,.0049999999
2020,KW,,.02262314842,.022623148
2016,KZ,,.0065,.0065000001
2017,KZ,27.565828,.084105,27.649933
2018,KZ,86.83580341725001,.136926585912,86.972725
2019,KZ,260.4085368288713,.000662,260.40921
2020,KZ,172.7331203400911,.01147076,172.7446
2017,LA,.294125,.001405,.29552999
2018,LA,.052525,,.052524999
2019,LA,,.02438766291,.024387661
2020,LA,,.00282641040061,.0028264103
2013,LB,1.663275,.260104,1.9233789
2014,LB,1.850775,.453461,2.3042359
2015,LB,3.155775,.975575844674399,4.1313505
2016,LB,3.704925,.7764785040890162,4.4814034
2017,LB,5.284925,.612696,5.8976212
2018,LB,6.064325,.170075457144,6.2344003
2019,LB,232.5077190952668,.05412928115126,232.56184
2020,LB,103.0367940055525,.67409459488745,103.71089
2017,LC,,.04004,.040040001
2018,LC,,.00003291,.00003291
2020,LC,,.00966261,.0096626105
2017,LI,,.0898247329025832,.089824736
2019,LI,,.04268171322999,.042681716
2015,LK,,.04225717,.042257171
2016,LK,,.00086448021,.00086448021
2017,LK,,.038926,.038926002
2018,LK,,.09886592275,.098865919
2019,LK,,.07911443764161,.079114437
2020,LK,,.17205686735835,.17205687
2013,LR,.83905,.011902,.85095203
2014,LR,.54835,.1168983427562843,.66524833
2015,LR,.015875,.043581,.059455998
2016,LR,.129375,.0670652397256495,.19644023
2017,LR,.79515,.126108,.92125797
2018,LR,.734725,.11445605865,.84918106
2019,LR,1.108,.03169374705378,1.1396937
2020,LR,.985075,.06462367,1.0496986
2014,LS,,.001825,.001825
2015,LS,.0234,.1095846847510349,.13298468
2016,LS,.196475,.0238523947533918,.22032739
2017,LS,.295925,.048038987008,.34396401
2018,LS,.075575,.007754636481,.083329633
2019,LS,.2469,.0238915345566,.27079153
2020,LS,.151175,.01687080746736,.16804582
2015,LT,3.19603212815,.038521336822,3.2345536
2016,LT,29.02310803302229,.2422604519266874,29.265368
2017,LT,68.07877482015759,1.190936466831566,69.269714
2018,LT,122.821553280019,3.075477396888,125.89703
2019,LT,179.664334182487,1.76307072045407,181.42741
2020,LT,189.4924770724996,6.178964209302309,195.67143
2016,LU,,.169057882836,.16905789
2017,LU,,.2202252215595,.22022521
2018,LU,4.0412220445,.2592914243,4.3005133
2019,LU,3.35876409,11.44295770399126,14.801722
2020,LU,5.711014959650001,10.50740545525528,16.21842
2015,LV,16.67783952955499,.1832311089039989,16.861073
2016,LV,29.98728858101614,.071284030225395,30.058573
2017,LV,104.0384744693181,4.198194605783258,108.23666
2018,LV,254.4952209195,.0405889994,254.53581
2019,LV,356.5767599722861,3.29022067162734,359.86697
2020,LV,75.8108800630242,10.50278620306645,86.313667
2013,MA,,.1631728400174687,.16317284
2014,MA,,.4133433327773188,.41334334
2015,MA,,.1310084173190431,.13100842
2016,MA,,.7244107469331894,.72441077
2017,MA,,.0616837,.061683699
2018,MA,,.09964333,.099643327
2019,MA,.0002079962,.2276682045,.2278762
2020,MA,.00063188478,.02541829395855,.02605018
2015,MC,,.431813729,.43181372
2016,MC,,2.135567824836,2.1355677
2017,MC,,.0097748558460038,.0097748553
2018,MC,.0354345,1.535495,1.5709295
2019,MC,,11.03658867,11.036589
2015,MD,,.0233035105729999,.023303511
2016,MD,,.0411034020274926,.041103404
