year,ctrycode,resid_roe,resid_int
2018,LK,.47994372,-43.189259
2019,LK,-2.5582542,-41.618458
2020,LK,,
2021,LK,,
2013,LR,,
2014,LR,,
2015,LR,,
2016,LR,,
2017,LR,,
2018,LR,-9.7332678,-50.631363
2019,LR,-7.2099981,-51.36916
2020,LR,,
2021,LR,,
2014,LS,,
2015,LS,,
2016,LS,,
2017,LS,,
2018,LS,,
2019,LS,,
2020,LS,,
2021,LS,,
2015,LT,,
2016,LT,-3.4728978,-10.734456
2017,LT,-5.6937814,-8.7661686
2018,LT,-4.9238214,-8.8668699
2019,LT,,
2020,LT,,
2021,LT,,
2016,LU,1.7250618,22.243402
2017,LU,3.5709784,19.642448
2018,LU,3.1158974,16.383829
2019,LU,5.5649981,14.136454
2020,LU,3.2187252,12.277602
2021,LU,3.7885408,9.1243353
2015,LV,-5.1426849,1.6244237
2016,LV,-6.1736875,-3.8415303
2017,LV,-12.251383,-3.4590435
2018,LV,-9.0278559,-2.2486646
2019,LV,-11.200052,-3.2129321
2020,LV,-15.794901,-2.057538
2021,LV,-9.9878178,-2.7297568
2013,MA,-5.1817026,-4.6924667
2014,MA,-3.1016958,-5.3858633
2015,MA,-5.8130841,-5.921628
2016,MA,-6.5078683,-11.193803
2017,MA,-9.4801579,-7.8621297
2018,MA,-13.224356,-6.2823081
2019,MA,-10.219243,10.575315
2020,MA,-11.383193,5.8224573
2021,MA,-7.8597078,8.6341867
2015,MC,,
2016,MC,,
2017,MC,,
2018,MC,,
2019,MC,,
2021,MC,,
2015,MD,-2.8217661,4.355927
2016,MD,-4.3210678,.15280403
2017,MD,-6.1044712,-23.765728
2018,MD,-6.8317604,-25.284361
2019,MD,-4.9342041,-20.441938
2020,MD,-6.4172292,-23.09914
2021,MD,-6.1373854,-8.7472954
2015,ME,-13.552036,.41760969
2016,ME,-10.973065,-4.7743754
2018,ME,-7.0547738,-8.3739128
2021,ME,-5.8385496,-5.1905031
2013,MG,,
2014,MG,,
2015,MG,13.468866,-56.640301
2016,MG,11.602291,-62.906437
2017,MG,12.023819,-64.09491
2018,MG,12.465522,-64.275612
2019,MG,10.72926,-64.188515
2020,MG,,
2021,MG,,
2015,MK,-7.2661586,1.2367121
2016,MK,-4.0878077,-4.3225017
2017,MK,-6.3323593,-5.696722
2018,MK,-3.6507235,-2.1700916
2019,MK,-5.7102499,-.54083699
2020,MK,-4.1215396,-4.9630928
2021,MK,,
